// Characters (read)
丸[丸]	wan2
闹[鬧]	nao4
伙[伙]	huo3
干[幹]	gan4
蛙[蛙]	wa1
干[干]	gan1
钟[鍾]	zhong1
调[調]	tiao2
钟[鐘]	zhong1
洗[洗]	xi3
得[得]	de2
痛[痛]	tong4
刷[刷]	shua1
脸[臉]	lian3
表[錶]	biao3
室[室]	shi4
礼[禮]	li3
复[複]	fu4
杂[雜]	za2
脏[髒]	zang1
办[辦]	ban4
谁[誰]	shei2
甜[甜]	tian2
店[店]	dian4
咖[咖]	ka1
啡[啡]	fei1
非[非]	fei1
炒[炒]	chao3
煎[煎]	jian1
桥[橋]	qiao2
餐[餐]	can1
厅[廳]	ting1
商[商]	shang1
馆[館]	guan3
层[層]	ceng2
炸[炸]	zha2
频[頻]	pin2
楼[樓]	lou2
超[超]	chao1
级[級]	ji2
需[需]	xu1
图[圖]	tu2
句[句]	ju4
鸟[鳥]	niao3
鸡[鷄]	ji1
鸭[鴨]	ya1
鹅[鵝]	e2
蛋[蛋]	dan4
咸[鹹]	xian2
麻[麻]	ma2
困[困]	kun4
民[民]	min2
村[村]	cun1
酸[酸]	suan1
蜂[蜂]	feng1
峰[峰]	feng1
农[農]	nong2
教[教]	jiao4
校[校]	xiao4
付[付]	fu4
购[購]	gou4
够[夠]	gou4
药[藥]	yao4
约[約]	yue1
苦[苦]	ku3
辣[辣]	la4
通[通]	tong1
通[通]	tong4
堵[堵]	du3
意[意]	yi4
思[思]	si1
考[考]	kao3
烤[烤]	kao3
义[義]	yi4
任[任]	ren4
充[充]	chong1
糕[糕]	gao1
成[成]	cheng2
城[城]	cheng2
都[都]	du1
都[都]	dou1
才[才]	cai2
团[團]	tuan2
队[隊]	dui4
排[排]	pai2
业[業]	ye4
交[交]	jiao1
试[試]	shi4
式[式]	shi4
务[務]	wu4
功[功]	gong1
初[初]	chu1
醋[醋]	cu4
现[現]	xian4
细[細]	xi4
租[租]	zu1
网[網]	wang3
衬衫[襯衫]	chen4shan1
便宜[便宜]	bian4yi2
盐[鹽]	yan2
粗[粗]	cu1
厚[厚]	hou4
薄[薄]	bao2
裤[褲]	ku4
便[便]	pian2
准备[準備]	zhun3bei4
败[敗]	bai4
展[展]	zhan3
袋[袋]	dai4
贵[貴]	gui4
